"Brand","Symptom","Freq"
"リングルアイビー","締め付けられるように痛む",12
"リングルアイビー","脈にあわせて痛む",21
"リングルアイビー","鈍痛がある",16
"リングルアイビー","頭の一部が敏感になる",4
"リングルアイビー","痛みの前兆症状がある（チカチカ光るなど）",5
"リングルアイビー","予兆予感を感じる_眠気だるさなど",9
"リングルアイビー","吐き気や嘔吐をともなう",11
"リングルアイビー","肩や首筋がこっている",29
"リングルアイビー","手足がしびれる",3
"リングルアイビー","体を動かすと痛みが増す",9
"リングルアイビー","温めると痛みが増す",2
"リングルアイビー","飲酒により痛みが増す",3
"リングルアイビー","マッサージや指圧で痛みが増す",0
"リングルアイビー","その他",0
