SOC,PT,Drug,Dsize,Placebo,Psize
皮膚および皮下組織障害,ざ瘡,7,219,7,219
皮膚および皮下組織障害,蕁麻疹,7,219,10,219
皮膚および皮下組織障害,汗疹,4,219,0,219
皮膚および皮下組織障害,発疹,4,219,2,219
皮膚および皮下組織障害,接触性皮膚炎,2,219,1,219
皮膚および皮下組織障害,そう痒症,2,219,5,219
胃腸障害,過剰歯,1,219,0,219
胃腸障害,口唇水疱,1,219,0,219
皮膚および皮下組織障害,アトピー性皮膚炎,1,219,4,219
胃腸障害,食道不快感,1,219,0,219
胃腸障害,アセトン血性嘔吐症,1,219,0,219
皮膚および皮下組織障害,皮脂欠乏性湿疹,1,219,3,219
皮膚および皮下組織障害,寒冷蕁麻疹,1,219,0,219
皮膚および皮下組織障害,皮膚嚢腫,0,219,1,219
皮膚および皮下組織障害,脂漏性皮膚炎,0,219,1,219
筋骨格系および結合組織障害,関節痛,2,219,2,219
筋骨格系および結合組織障害,背部痛,1,219,1,219
皮膚および皮下組織障害,皮膚炎,1,219,0,219
皮膚および皮下組織障害,皮膚乾燥,1,219,0,219
皮膚および皮下組織障害,異汗性湿疹,1,219,0,219
筋骨格系および結合組織障害,関節炎,0,219,1,219
筋骨格系および結合組織障害,筋痙縮,0,219,1,219
筋骨格系および結合組織障害,筋肉痛,0,219,1,219
筋骨格系および結合組織障害,骨端症,0,219,1,219
筋骨格系および結合組織障害,四肢痛,0,219,1,219
筋骨格系および結合組織障害,リウマチ熱,0,219,1,219
皮膚および皮下組織障害,手皮膚炎,1,219,0,219
筋骨格系および結合組織障害,骨障害,1,219,0,219
筋骨格系および結合組織障害,顎関節症候群,1,219,0,219
生殖系および乳房障害,月経困難症,0,219,1,219
一般・全身障害および投与部位の状態,発熱,10,219,4,219
一般・全身障害および投与部位の状態,胸部不快感,4,219,1,219
筋骨格系および結合組織障害,腱炎,1,219,0,219
腎および尿路障害,蛋白尿,1,219,0,219
腎および尿路障害,尿閉,1,219,0,219
生殖系および乳房障害,亀頭包皮炎,1,219,0,219
一般・全身障害および投与部位の状態,無力症,1,219,0,219
一般・全身障害および投与部位の状態,顔面痛,1,219,0,219
一般・全身障害および投与部位の状態,嚢胞,0,219,1,219
一般・全身障害および投与部位の状態,異常感,0,219,1,219
一般・全身障害および投与部位の状態,圧痛,0,219,1,219
一般・全身障害および投与部位の状態,口渇,0,219,1,219
一般・全身障害および投与部位の状態,医療機器による疼痛,0,219,1,219
一般・全身障害および投与部位の状態,異物感,0,219,1,219
一般・全身障害および投与部位の状態,倦怠感,1,219,0,219
一般・全身障害および投与部位の状態,苦悶感,1,219,0,219
一般・全身障害および投与部位の状態,末梢腫脹,1,219,0,219
臨床検査,アラニンアミノトランスフェラーゼ増加,1,219,0,219
臨床検査,アスパラギン酸アミノトランスフェラーゼ増加,1,219,0,219
臨床検査,尿中血陽性,0,219,2,219
臨床検査,ヘモグロビン減少,0,219,1,219
臨床検査,白血球数増加,0,219,1,219
臨床検査,尿中蛋白陽性,0,219,3,219
傷害、中毒および処置合併症,靱帯捻挫,8,219,3,219
傷害、中毒および処置合併症,節足動物刺傷,4,219,3,219
傷害、中毒および処置合併症,手骨折,4,219,0,219
臨床検査,血中ビリルビン増加,1,219,0,219
傷害、中毒および処置合併症,擦過傷,3,219,2,219
傷害、中毒および処置合併症,挫傷,3,219,5,219
傷害、中毒および処置合併症,剥離骨折,3,219,0,219
傷害、中毒および処置合併症,熱中症,3,219,0,219
臨床検査,好中球数減少,1,219,0,219
傷害、中毒および処置合併症,四肢損傷,2,219,1,219
傷害、中毒および処置合併症,体内異物,2,219,1,219
傷害、中毒および処置合併症,足関節部骨折,1,219,0,219
傷害、中毒および処置合併症,気圧性中耳炎,1,219,0,219
傷害、中毒および処置合併症,眼内異物,1,219,0,219
傷害、中毒および処置合併症,骨折,1,219,0,219
傷害、中毒および処置合併症,爪裂離,1,219,0,219
傷害、中毒および処置合併症,末梢神経損傷,1,219,0,219
傷害、中毒および処置合併症,引っかき傷,1,219,0,219
傷害、中毒および処置合併症,皮下血腫,1,219,0,219
傷害、中毒および処置合併症,手首関節骨折,1,219,1,219
傷害、中毒および処置合併症,口腔内損傷,1,219,4,219
